Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6361.777	    0.239	 3.373e-17	     4.280e-18	    1.991	    0.223	 1.683e-16	 2.849e-17	   -9.958	        0.378	 2911.035	 2911.035	   11.284	   16.930	    4.687
[OI]b   	 6363.800	 6425.897	    0.239	 1.088e-17	     4.280e-18	    1.991	    0.223	 5.429e-17	 2.221e-17	   -9.958	        0.378	 2911.035	 2911.035	   11.171	   40.904	    4.687
[NII]b  	 6548.100	 6611.650	    0.302	 2.604e-16	     1.587e-16	    1.682	    0.241	 1.098e-15	 6.876e-16	       -9.958	    0.378	 2895.415	 2895.415	   13.715	       62.622	    3.962
Halpha  	 6562.800	 6626.467	    0.232	 1.470e-15	     2.567e-16	    1.598	    0.177	 5.887e-15	 1.218e-15	       -9.958	    0.378	 2894.238	 2894.238	   10.516	       20.686	    3.763
[NII]a  	 6583.500	 6647.394	    0.302	 7.550e-16	     1.587e-16	    1.692	    0.241	 3.201e-15	 8.133e-16	       -9.958	    0.378	 2895.415	 2895.415	   13.641	       25.403	    3.983
[SII]a  	 6716.400	 6781.608	    0.485	 2.318e-16	     9.183e-17	    1.725	    0.381	 1.003e-15	 4.548e-16	       -9.958	    0.378	 2896.496	 2896.496	   21.425	       45.366	    4.063
[SII]b  	 6730.800	 6796.148	    0.485	 1.659e-16	     7.716e-17	    1.729	    0.381	 7.191e-16	 3.701e-16	       -9.958	    0.378	 2896.496	 2896.496	   21.379	       51.468	    4.072
Hbeta   	 4861.000	 4908.707	    0.370	 1.460e-16	     4.558e-17	    1.385	    0.261	 5.068e-16	 1.848e-16	       -9.958	    0.378	 2927.819	 2927.819	   22.616	       36.463	    3.261
[OIII]49	 4959.000	 5007.342	    0.678	 1.253e-17	     1.859e-17	    1.649	    0.546	 5.178e-17	 7.873e-17	       -9.958	    0.378	 2908.214	 2908.214	   40.590	      152.049	    3.884
[OIII]50	 5007.000	 5055.811	    0.678	 3.758e-17	     1.859e-17	    1.649	    0.546	 1.553e-16	 9.245e-17	       -9.958	    0.378	 2908.272	 2908.272	   40.201	       59.514	    3.884
