Position    dPosition   Velocity    dVelocity   fwhm        dfwhm       flux        dflux     
2.509e+00   5.530e-01   3.146e+03   2.158e+01   3.354e+01   7.865e-01   3.999e-15   1.341e-15 
3.616e+00   5.530e-01   3.209e+03   1.938e+01   3.200e+01   7.394e-01   2.010e-15   6.431e-16 
4.654e+00   5.530e-01   3.228e+03   2.367e+01   5.238e+01   8.454e-01   2.533e-15   1.327e-15 
5.760e+00   5.530e-01   3.236e+03   2.202e+01   4.774e+01   8.077e-01   4.425e-15   2.113e-15 
6.862e+00   5.530e-01   3.237e+03   2.137e+01   4.634e+01   7.064e-01   4.334e-15   2.009e-15 
7.846e+00   5.530e-01   3.230e+03   2.759e+01   5.683e+01   1.090e+00   1.289e-15   7.323e-16 
9.070e+00   5.530e-01   3.189e+03   2.258e+01   5.410e+01   7.724e-01   2.888e-16   1.562e-16 
1.018e+01   5.530e-01   3.182e+03   1.609e+01   3.159e+01   6.429e-01   1.468e-16   4.636e-17 
1.407e+00   5.530e-01   3.148e+03   2.305e+01   3.575e+01   7.606e-01   2.869e-15   1.025e-15 
3.030e-01   5.530e-01   3.067e+03   2.195e+01   4.518e+01   8.006e-01   2.979e-15   1.346e-15 
-8.030e-01  5.530e-01   3.071e+03   2.181e+01   4.620e+01   7.229e-01   3.114e-15   1.439e-15 
-1.907e+00  5.530e-01   3.068e+03   3.062e+01   6.430e+01   1.008e+00   1.459e-15   9.380e-16 
-3.011e+00  5.530e-01   3.067e+03   3.620e+01   8.342e+01   1.363e+00   4.745e-16   3.958e-16 
-4.115e+00  5.530e-01   3.075e+03   2.288e+01   4.462e+01   6.405e-01   2.510e-16   1.120e-16 
